,date,price
0,2019-06-25,11740.34
1,2019-06-26,12913.28
2,2019-06-27,11154.09
3,2019-06-28,12355.06
4,2019-06-29,11884.1
5,2019-06-30,10769.05
6,2019-07-01,10591.87
7,2019-07-02,10844.13
8,2019-07-03,11981.61
9,2019-07-04,11156.52
10,2019-07-05,10993.25
11,2019-07-06,11248.94
12,2019-07-07,11474.28
13,2019-07-08,12296.16
14,2019-07-09,12567.02
15,2019-07-10,12099.12
16,2019-07-11,11343.12
17,2019-07-12,11797.37
18,2019-07-13,11363.97
19,2019-07-14,10204.41
20,2019-07-15,10850.26
21,2019-07-16,9423.44
22,2019-07-17,9696.15
23,2019-07-18,10638.35
24,2019-07-19,10532.94
25,2019-07-20,10759.42
26,2019-07-21,10586.71
27,2019-07-22,10325.87
28,2019-07-23,9854.15
29,2019-07-24,9772.14
30,2019-07-25,9882.43
31,2019-07-26,9847.45
32,2019-07-27,9478.32
33,2019-07-28,9531.77
34,2019-07-29,9506.93
35,2019-07-30,9595.52
36,2019-07-31,10089.25
37,2019-08-01,10409.79
38,2019-08-02,10528.99
39,2019-08-03,10820.41
40,2019-08-04,10978.91
41,2019-08-05,11807.96
42,2019-08-06,11467.1
43,2019-08-07,11974.28
44,2019-08-08,11982.8
45,2019-08-09,11865.21
46,2019-08-10,11293.59
47,2019-08-11,11549.06
48,2019-08-12,11387.41
49,2019-08-13,10872.0
50,2019-08-14,10031.89
51,2019-08-15,10308.51
52,2019-08-16,10360.43
53,2019-08-17,10220.75
54,2019-08-18,10326.25
55,2019-08-19,10922.16
56,2019-08-20,10770.76
57,2019-08-21,10131.67
58,2019-08-22,10104.11
59,2019-08-23,10410.49
60,2019-08-24,10150.07
61,2019-08-25,10141.75
62,2019-08-26,10364.91
63,2019-08-27,10175.47
64,2019-08-28,9722.83
65,2019-08-29,9492.81
66,2019-08-30,9587.25
67,2019-08-31,9624.54
68,2019-09-01,9768.36
69,2019-09-02,10387.5
70,2019-09-03,10625.1
71,2019-09-04,10585.2
72,2019-09-05,10556.16
73,2019-09-06,10309.91
74,2019-09-07,10491.96
75,2019-09-08,10420.88
76,2019-09-09,10314.88
77,2019-09-10,10109.46
78,2019-09-11,10165.01
79,2019-09-12,10428.96
80,2019-09-13,10372.29
81,2019-09-14,10365.56
82,2019-09-15,10313.02
83,2019-09-16,10271.79
84,2019-09-17,10198.62
85,2019-09-18,10163.38
86,2019-09-19,10281.03
87,2019-09-20,10176.38
88,2019-09-21,9988.38
89,2019-09-22,10036.98
90,2019-09-23,9694.6
91,2019-09-24,8542.54
92,2019-09-25,8446.97
93,2019-09-26,8074.99
94,2019-09-27,8201.36
95,2019-09-28,8223.65
96,2019-09-29,8065.26
97,2019-09-30,8314.62
98,2019-10-01,8326.64
99,2019-10-02,8391.52
100,2019-10-03,8246.3
101,2019-10-04,8168.05
102,2019-10-05,8172.48
103,2019-10-06,7868.31
104,2019-10-07,8215.11
105,2019-10-08,8191.87
106,2019-10-09,8593.16
107,2019-10-10,8596.57
108,2019-10-11,8278.05
109,2019-10-12,8316.66
110,2019-10-13,8296.34
111,2019-10-14,8363.94
112,2019-10-15,8173.48
113,2019-10-16,8014.39
114,2019-10-17,8082.46
115,2019-10-18,7972.62
116,2019-10-19,7973.63
117,2019-10-20,8247.25
118,2019-10-21,8223.25
119,2019-10-22,8034.5
120,2019-10-23,7479.54
121,2019-10-24,7444.2
122,2019-10-25,8671.1
123,2019-10-26,9258.98
124,2019-10-27,9550.6
125,2019-10-28,9222.23
126,2019-10-29,9432.86
127,2019-10-30,9169.86
128,2019-10-31,9157.52
129,2019-11-01,9260.59
130,2019-11-02,9311.99
131,2019-11-03,9221.61
132,2019-11-04,9421.54
133,2019-11-05,9323.61
134,2019-11-06,9347.27
135,2019-11-07,9208.52
136,2019-11-08,8772.31
137,2019-11-09,8822.19
